"Boundary
Code",Road Code,Road Name,Selection
BC181,R00005LP,Mactan Circumferential Rd,1
BC191,R00005LT,Leyte-Samar Inter-Provl Rd,1
BC144,R00005LZ,MT Villanueva Ave-Magsaysay Rd,1
BC171,R00005NR,Bacolod South Rd (Old Road),1
BC154,R00005PN,Altavas-Jamindan Rd,1
BC124,R00005PW,Palawan Circum. Rd,1
BC188,R00005SJ,Larena-Basac-Maria Rd,1
BC249,R00005SL,Jolo-Indanan-Parang-Silangkan Rd,1
BC190,R00005SM,Jct Buenavista-Lawaan-Marabut Rd,1
BC257,R00005TW,Bongao-Pahut-Sanga-Sanga Rd,1
BC172,R00006BH,Jct (TER) Dauis-Panglao Rd,1
BC189,R00006BR,Biliran Diversion Rd,1
BC183,R00006CB,Cebu North Rd,1
BC121,R00006LB,Jct TLLR-Tilik Rd,1
BC182,R00006LP,Terminal Bldg Access Rd,1
BC191,R00006LT,Govt Ctr Rd Network,1
BC144,R00006LZ,Naga-Carolina-Panicuason Rd,1
BC122,R00006MR,Calapan North Rd,1
BC149,R00006MT,Jct Tawad-Balud Rd,1
BC167,R00006NR,Jct Old Escalante-Danao Port Rd,1
BC124,R00006PW,PPSR Jct (Abo-abo)-Quezon Rd,1
BC246,R00006SG,Jct Cancohoy-Pilar Rd,1
BC257,R00006TW,Laum Sicubong-Licud Sicubong Rd,1
BC172,R00007BH,Jct (TNR) Ma Clara Wharf Rd,1
BC061,R00007BN,Uyugan-Mahatao Interior Rd,1
BC121,R00007LB,Jct TLLR-Agcawayan Rd,1
BC182,R00007LP,Mactan Airport Rd,1
BC191,R00007LT,Jct Tacloban-Baybay South Rd-Government Center Road Network,1
BC127,R00007MR,Bongabong-Sagana-Roxas-Sn Aquilino Rd,1
BC149,R00007MT,Jct Crossing-Mandaon Rd,1
BC167,R00007NR,Sn Carlos City Port Rd,1
BC124,R00007PW,Palawan Circum. Rd (Panalingaan-Tagbita-Latud),1
BC246,R00007SG,Jct Osmeña-Pilar Rd,1
BC249,R00007SL,Jolo-Taglibi-Tiptipon Rd,1
BC250,R00007SL,Jolo-Taglibi-Tiptipon Rd,1
BC199,R00007SM,Sn Juanico-Basey-Sohoton Rd,1
BC126,R00007TL,Looc (Cogon Tulay)-Odiongan Rd,1
BC257,R00007TW,Sibutu-Ligayan Road,1
BC061,R00008BN,Basco Port Rd,1
BC183,R00008CB,J Luna Ave,1
BC121,R00008LB,Jct Lubang-Binakas-Barac Rd,1
BC315,R00008LT,Sn Ricardo-Bilatan Rd,1
BC120,R00008MQ,Dr Damian Reyes Rd (Boac Side),1
BC167,R00008NR,Jct Curva Hagnaya-Poblacion-Maaswa Rd,1
BC155,R00008PN,Iloilo-Antique Rd,1
BC165,R00008PN,Iloilo-Antique Rd,1
BC160,R00008PN,Iloilo-Antique Rd,1
BC246,R00008SG,Jct Cancohoy-Del Carmen Rd,1
BC249,R00008SL,Romandier-Camp Andres-Tanduh Bato Rd,1
BC250,R00008SL,Romandier-Camp Andres-Tanduh Bato Rd,1
BC199,R00008SM,Basey-Marabut-Pinamitinan Rd,1
BC257,R00008TW,Tungusong-Tubig Indangan Rd,1
BC061,R00009BN,Basco Port Div Rd,1
BC183,R00009CB,8th St,1
BC121,R00009LB,Jct TLLR-Tumibo-Lubang-Binacas Rd,1
BC191,R00009LT,Tacloban-Baybay South Rd,1
BC195,R00009LT,Tacloban-Baybay South Rd,1
BC201,R00009LT,Tacloban-Baybay South Rd,1
BC120,R00009MQ,Dr Damian Reyes Rd (Torrijos Side),1
BC149,R00009MT,Jct Milagros-Baleno-Lagta Rd,1
BC167,R00009NR,Jct Natl Rd Sagay-Bato-Dian-Marcelo-Balea Jct Rd,1
BC168,R00009NR,Jct Natl Rd Sagay-Bato-Dian-Marcelo-Balea Jct Rd,1
BC155,R00009PN,Pandan-Libertad-Aklan Bdry Rd,1
BC246,R00009SG,Dapa-Union-Gen. Luna Rd,1
BC250,R00009SL,Seit-Tayungan-Camp Andres Rd,1
BC199,R00009SM,Dolongan-Basey Rd,1
BC257,R00009TW,Umus Mataha-Lupa-Pula Rd,1
BC172,R00010BH,Jct (TNR) Maribojoc-Antequera-Catagbacan (Loon),1
BC061,R00010BN,Basco-Ivana Div Rd,1
BC183,R00010CB,Salinas Drive,1
BC191,R00010LT,Pawing-Campetic Rd,1
BC144,R00010LZ,Pili-Tigaon-Albay Bdry Rd,1
BC145,R00010LZ,Pili-Tigaon-Albay Bdry Rd,1
BC166,R00010NR,Bacolod North Rd,1
BC156,R00010NR,Bacolod North Rd,1
BC167,R00010NR,Bacolod North Rd,1
BC168,R00010NR,Bacolod North Rd,1
BC246,R00010SG,Socorro-Nueva Estrella-Brgy. Pamosaingan Rd,1
BC249,R00010SL,Jolo-Cadre-New Capitol Rd (Rotonda),1
BC199,R00010SM,Buri Access Rd,1
BC126,R00010TL,Dapawan-Torrel Rd,1
BC257,R00010TW,Ungus Matata-Tandubas Rd,1
BC172,R00011BH,Jct (TNR) Cortes-Balilihan-Catigbian-Macaas Rd,1
BC251,R00011BL,Lamitan-Tuburan Road via Campo Uno,1
BC061,R00011BN,Basco-Itbud Div Rd,1
BC183,R00011CB,Gorordo Ave,1
BC191,R00011LT,Tanauan-Dagami Rd,1
BC192,R00011LT,Tanauan-Dagami Rd,1
BC144,R00011LZ,Hanawan-Consocep Rd,1
BC120,R00011MQ,Mogpog-Balanacan Port Rd,1
