"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS03243MN,FB00026MN,Bridge 1,0
FS20241MN,FB20241MN,Bridge 1,0
FS20240MN,FB20240MN,Bridge 1.,0
FS15173MN,FB15173MN,Bridge 1,0
FS00244MN,FB00001MN,Bridge 1,0
FS00244MN,FB00132MN,Bridge 3,0
FS00244MN,FB00131MN,Bridge 2,0
FS27601MN,FB41404MN,Usugan Br. 2,0
S01452MN,FB00439MN,Tawagan Br.,0
FS20239MN,FB57007MN,Br. 1_2023,0
FS20239MN,FB20239MN,Langapod Br.,0
S01328MN,FB01200MN,Tabuan Br. 2,0
S01328MN,FB31324MN,Tabuan Br. 2,0
S01328MN,FB01198MN,Malabaquid Br. 2,0
S01328MN,FB31323MN,Malabaquid Br. 2,0
S01325MN,FB97815MN,Ecuan Br.,0
S01325MN,FB97816MN,Senote Br.,0
FS00261MN,FB00407MN,Langapod Br.,0
S01325MN,FB97814MN,Timbaboy Br.,0
S01325MN,FB97813MN,Guinabot Br.,0
FS15067MN,FB18067MN,Bridge 1,0
FS30001MN,FB70010MN,Balugo Br,0
S01325MN,FB41679MN,Timbaboy Br. 2,0
FS30001MN,FB70009MN,Tungawan Br,0
FS10955MN,FB70014MN,Pangaan Br,0
FS00713MN,FB43521MN,Balucot Br,0
FS00103MN,FB00103MN,Bridge 1,0
FS46405LZ,FB46405LZ,Br.1,0
FS33510MN,FB33510MN,Bridge 1,0
FS33510MN,FB33512MN,Bridge 3,0
FS33510MN,FB33511MN,Bridge 2,0
FS15264MN,FB15264MN,Bridge 1,0
FS15060MN,FB15060MN,Bridge 1,0
FS29013MN,FB43511MN,Calibato Br,0
FS00282MN,FB00421MN,Bolong Br.,0
FS20227MN,FB00405MN,Tumaga Br.,0
FS20227MN,FB00407MN,Luyahan Br.,0
FS20227MN,FB00406MN,Mercedes Br,0
FS29013MN,FB43512MN,Pamingitan Br 1,0
FS29013MN,FB43513MN,Pamingitan Br 2,0
FS20227MN,FB00107MN,Saaz Bridge,0
FS20227MN,FB70004MN,Lunzuran Br.,0
FS29020MN,FB43517MN,Mampang Br.,0
FS20227MN,FB00109MN,Talomo Br. 5,0
FS20227MN,FB00653MN,Maasin Bridge,0
FS20227MN,FB00654MN,Sinunuc Bridge,0
S01185MN,FB00463MN,Labuan Br.,0
FS29004MN,FB43519MN,Ontog Br.,0
FS20227MN,FB00108MN,Malagutay Bridge,0
FS29020MN,FB29020MN,Zambowood Br. 1,0
FS29004MN,FB70011MN,Binaluy Br.,0
FS20236MN,FB00027MN,Bridge 1,0
FS29012MN,FB70003MN,Zambowood Br. 1,0
FS29004MN,FB43502MN,Curuan Bridge,0
FS29019MN,FB43515MN,Binaloy Br.,0
FS29019MN,FB43516MN,Basagan Br.,0
FS05219MN,FB40008MN,Bridge 1,0
FS00155MN,FB70013MN,Labuan - Limpapa Viaduct,0
FS05219MN,FB00414MN,Vitali Br.,0
FS03245MN,FB03245MN,Bridge 1,0
FS03245MN,FB70012MN,Bridge 2,0
FS29018MN,FB43514MN,Mercedes Br. 2,0
FS29012MN,FB43509MN,Culianan Bridge (Coastal),0
FS29012MN,FB43510MN,Mercedes Bridge (Coastal),0
FS02808MN,FB00327MN,Bridge 1,0
FS29012MN,FB43508MN,Cabaluay Bridge 2 (Coastal),0
FS29012MN,FB43507MN,Cabaluay Bridge 1 (Coastal),0
FS13009MN,FB18027MN,Bridge 1,0
FS13009MN,FB57078MN,Br. 1_2023,0
FS13009MN,FB57079MN,Br. 1_2023,0
FS13009MN,FB57077MN,Br. 1_2023,0
FS13009MN,FB00105MN,Maasin Br.,0
FS13009MN,FB00106MN,Sinunuc Br.,0
FS13009MN,FB15061MN,Malagutay Br,0
FS29008MN,FB43506MN,Bolong Bridge (Coastal),0
FS13009MN,FB00103MN,San Ramon Br.,0
FS17701MN,FB43800MN,Bridge 1,0
FS29006MN,FB43504MN,Curuan Bridge 2 (Coastal),0
FS29007MN,FB43505MN,Quiniput Bridge (Coastal),0
FS29005MN,FB43503MN,Curuan Bridge 1 (Coastal),0
FS13009MN,FB00104MN,Tulungatung Br.,0
FS20230MN,FB18030MN,Bridge 1,0
FS20234MN,FB18034MN,Bridge 1,0
FS20228MN,FB18028MN,Bridge 1,0
FS20228MN,FB40011MN,Bridge 1,0
FS20228MN,FB40014MN,Bridge 1,0
FS20228MN,FB40015MN,Bridge 1,0
FS20232MN,FB18032MN,Bridge 1,0
