Infra Type,Major Work Category,Type Of Work,Unit of Measure,progsub_CW1,"Min
Amount",Max Amount,Selection
Roads,Off-Carriageway Improvement,Off-Carriageway Improvement: Flaring of Intersections / Improvement of Intersections,Number of Intersections,7,1,20, 1.00 
Roads,Off-Carriageway Improvement,Off-Carriageway Improvement: Construction of Traffic Island,Square meters,7,50,100000, 1.00 
Roads,Off-Carriageway Improvement,Off-Carriageway Improvement: Paving of Shoulders,Square meters,7,0,100000, 1.00 
Roads,Off-Carriageway Improvement,Off-Carriageway Improvement: Construction of Sidewalk,Square meters,7,0,100000, 1.00 
Roads,Off-Carriageway Improvement,Off-Carriageway Improvement: Construction of Median/Center Island,Square meters,7,0,100000, 1.00 
Roads,Preventive Maintenance,Preventive Maintenance of Road: Asphalt Overlay,Lane Km,2,0,50, 1.00 
Roads,Preventive Maintenance,Preventive Maintenance of Road: Concrete Reblocking,Lane Km,2,0,50, 1.00 
Roads,Preventive Maintenance,Rehabilitation / Major Repair of Drainage Structure along Road,Lineal meters,1,0,10000, 1.00 
Roads,Reconstruction,Reconstruction to Concrete Pavement,Lane Km,4,0,1000, 1.00 
Roads,Reconstruction,Reconstruction: Raising of Grade,Lane Km,,0,50, 1.00 
Roads,Rehabilitation,Rehabilitation of Paved Road,Lane Km,4,0,50, 1.00 
Roads,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Road Slope Protection Structure,Square meters,3,0,300000, 1.00 
Roads,Road Safety,Road Safety: Pavement Markings,Lineal meters,118,0,100, 1.00 
Roads,Road Safety,Road Safety: Guardrails,Lineal meters,118,0,10000, 1.00 
Roads,Road Safety,Road Safety: Road Signs,Number of Signs,118,1,10000, 1.00 
Roads,Road Safety,Road Safety: Pavement of Markings,Lineal meters,118,1,2000, 1.00 
Roads,Road Safety,Road Safety: Pedestrian Overpass,Number of Pedestrian Overpass,118,0,10, 1.00 
Roads,Road Safety,Road Safety: Roadway Lighting,Number of Units,118,0,10, 1.00 
Roads,Road Safety,Road Safety: Traffic Signals,Number of Traffic Signals,118,0,10, 1.00 
Roads,Road Safety,Road Safety: Solar / Reflectorized Pavement Studs,Number of Units,118,0,10, 1.00 
Roads,Upgrading,Upgrading of Drainage Structure along Road,Lineal meters,1,0,25000, 1.00 
Roads,Upgrading,Paving of Unpaved Roads,Lane Km,6,0,50, 1.00 
Roads,Widening,Additional Lane Width,Square meters,,0,100000, 1.00 
Roads,Widening,Road Widening,Lane Km,5,0,50, 1.00 
ROW,ROW Acquisition,ROW Acquisition,Square meters,,0,10000000, 1.00 
School Buildings,Construction,Construction of 1-Storey Classrooms,Number of 1-Storey Classrooms,,1,10, 1.00 
School Buildings,Construction,Construction of 2-Storey Classrooms,Number of 2-Storey Classrooms,,1,10, 1.00 
School Buildings,Construction,Construction of 3-Storey Classrooms,Number of 3-Storey Classrooms,,1,10, 1.00 
School Buildings,Construction,Construction of 4-Storey Classrooms,Number of 4-Storey Classrooms,,1,10, 1.00 
School Buildings,Construction,Construction of Classrooms,Number of Classrooms,,1,150, 1.00 
School Buildings,Construction,Construction of School Buildings,Number of School Buildings,,1,10, 1.00 
School Buildings,Rehabilitation/Major Repair,Rehabilitation / Major Repair of 1-Storey Classrooms,Number of 1-Storey Classrooms,,1,10, 1.00 
School Buildings,Rehabilitation/Major Repair,Rehabilitation / Major Repair of 2-Storey Classrooms,Number of 2-Storey Classrooms,,1,10, 1.00 
School Buildings,Rehabilitation/Major Repair,Rehabilitation / Major Repair of School  Buildings,Number of School Buildings,,1,10, 1.00 
Septage and Sewerage Plants,Construction,Construction of Septage / Sewerage Plants,Number of Septage/Sewerage Plants,,1,1, 1.00 
Septage and Sewerage Plants,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Septage / Sewerage Plants,Number of Septage/Sewerage Plants,,1,1, 1.00 
Water Supply Systems,Construction,Construction of Water Supply Systems,Number of Water Supply Systems,,1,10, 1.00 
Water Supply Systems,Rehabilitation,Rehabilitation of Water Supply Systems,Number of Water Supply Systems,,1,10, 1.00 
Waterway,Channelization,Channelization,Cubic meters,,0,500000, 1.00 
Waterway,Dredging / Desilting,Dredging / Desilting,Cubic meters,,0,500000, 1.00 
,,,,,,,
